LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
270;19476;19386;22549;26169;20701;3676;13461;25376;12546;23017;32602;21287;21496;18252
271;19293;19406;21809;26317;20894;3731;16494;25571;12197;22951;31610;21059;21173;18409
272;19522;19293;22437;26220;20668;3728;17390;25423;12081;22973;33728;21157;21539;18613
273;19473;19406;22297;26418;20726;3680;13313;25571;12197;23040;34132;21202;21173;18248
274;19533;19320;22589;26663;20663;3733;17309;25474;12174;22266;33962;20130;22339;18605
275;19511;19439;22604;26596;20823;3702;13442;25525;12162;23084;33895;21304;21194;18305
276;19561;19472;22289;26714;20945;3673;16217;25474;12115;22797;33172;21321;21539;18528
277;19536;19346;22225;26391;20952;3665;17129;25474;12139;22863;31548;21188;21194;18475
278;19504;19472;22760;26605;20788;3716;17496;25474;12069;23084;33828;21240;21624;18704
279;19501;19326;22379;25834;21098;3680;17252;25398;12162;22951;34030;20472;21278;18544
280;19557;19399;22549;26173;20785;3698;13425;25448;12115;22688;33861;21240;21090;18227
281;19557;19406;22542;26640;20915;3716;17382;25571;12293;22732;31703;21165;21560;18597
282;19317;19413;22596;26613;21091;3629;17569;25300;12575;22951;31953;21114;21236;18593
283;19511;19353;22616;26936;20815;3683;15891;25474;12197;22710;33996;21215;21215;18525
284;19285;19333;22492;26460;20774;3669;13552;25525;12209;22929;33431;21280;21069;18229
285;19441;19419;22432;26539;21158;3762;17219;25622;12293;23174;31703;21094;21300;18606
286;19476;19453;22381;26465;20912;3683;14204;25499;12676;22929;33761;21240;21363;18408
287;19536;19539;22561;26428;20794;3716;17814;25499;12306;23040;34030;21210;20888;18698
288;19296;19452;22790;26936;21036;3705;17700;25499;12593;22885;33695;21309;21300;18763
289;19490;19478;22608;26147;20809;3665;13497;25474;12245;22732;34098;21246;21215;18265
290;19554;19353;22657;26558;20761;3651;16037;25474;12046;22710;33562;21062;21321;18468
291;19462;19492;22492;26613;20544;3629;17186;25474;12092;22753;33497;21277;21496;18571
292;19533;19419;22318;26317;20922;3728;17635;25545;12736;22775;33794;21199;20702;18678
293;19522;19300;22093;26465;21089;3740;13532;25448;12115;23129;31984;21183;21710;18236
294;19437;19260;22531;26566;20821;3673;13959;25376;12558;23107;33628;21252;21731;18382
295;19536;19478;22607;26575;20767;3665;13521;25398;12377;22907;33929;21171;21581;18324
296;19568;19300;22706;26465;20716;3622;17602;25448;12174;22517;33628;21292;21581;18619
297;19473;19505;22228;26234;20753;3733;16103;25474;12233;23152;31796;19406;21496;18334
298;19455;19525;22706;26307;21064;3698;16616;25398;12341;22732;33962;21175;21236;18603
299;19511;19465;22048;26862;20994;3676;18010;25448;12587;23062;31858;21110;21796;18686
300;19508;19638;22131;26027;20832;3694;15940;25423;12664;23152;33861;21261;21048;18540
